LOCATIONID,LOCATIONNAME,LATITUDE,LONGITUDE,Value
ACWORTH,Acworth,34.0659,-84.6769,53.9173469543457
ADAIRSVI,Adairsville,34.3687,-84.9341,56.854393005371094
ALPHARET,Alpharetta,34.0754,-84.2941,53.301490783691406
ATHENS,Athens,33.9519,-83.3576,54.27894592285156
ATLANTA,Atlanta,33.749,-84.388,52.8249626159668
AUSTELL,Austell,33.8126,-84.6344,53.917335510253906
BALL GRO,Ball Ground,34.3387,-84.3755,52.8249626159668
BARNESVI,Barnesville,33.0543,-84.1513,52.32172775268555
BLAIRSVI,Blairsville,34.8759,-83.9853,53.283836364746094
BLUE RID,Blue Ridge,34.8634,-84.3241,52.8249626159668
BUFORD,Buford,34.1207,-84.0044,53.283836364746094
BREMEN,Bremen,33.7212,-85.145,62.43714141845703
CALHOUN,Calhoun,34.5026,-84.9511,58.175743103027344
CANTON,Canton,34.2368,-84.4908,51.890968322753906
CARROLLT,Carrollton,33.5801,-85.0766,60.76117706298828
CARTERSV,Cartersville,34.1651,-84.7999,55.813045501708984
CHAMBLEE,Chamblee,33.8929,-84.2988,53.301490783691406
CLAYTON,Clayton,34.882,-83.4018,53.77651596069336
CLEVELAN,Cleveland,34.597,-83.7632,53.258758544921875
CONYERS,Conyers,33.6676,-84.0177,52.802215576171875
COVINGTO,Covington,33.5968,-83.8602,52.2789421081543
CUMMING,Cumming,34.2073,-84.1402,52.32172775268555
DAHLONEG,Dahlonega,34.5254,-83.986,53.283836364746094
DALLAS,Dallas,33.9237,-84.8408,56.26393508911133
DAWSONVI,Dawsonville,34.4212,-84.1199,52.31057357788086
DOUGLASV,Douglasville,33.7515,-84.7477,53.902339935302734
DULUTH,Duluth,34.0029,-84.1446,52.32172775268555
EATONTON,Eatonton,33.3268,-83.3885,54.27894592285156
ELLIJAY,Ellijay,34.6948,-84.4821,51.890968322753906
FAIRBURN,Fairburn,33.5673,-84.581,53.38765335083008
FAIRPLAY,Fairplay,33.6234,-84.8599,55.817626953125
FAYETTEV,Fayetteville,33.4487,-84.4549,51.890968322753906
FLOWERY ,Flowery Branch,34.1851,-83.9255,52.77605056762695
GAINESVI,Gainesville,34.2979,-83.8241,53.258758544921875
GRIFFIN,Griffin,33.2468,-84.2641,53.301490783691406
GREENSBO,Greensboro,33.5757,-83.1824,53.321449279785156
HELEN,Helen,34.7029,-83.7307,53.258758544921875
HIRAM,Hiram,33.8757,-84.7624,53.902339935302734
HOMER,Homer,34.3351,-83.4966,53.289730072021484
JASPER,Jasper,34.4673,-84.4291,51.890968322753906
JOHNS CR,Johns Creek,34.0289,-84.1986,51.809059143066406
JONESBOR,Jonesboro,33.5215,-84.3538,52.8249626159668
KENNESAW,Kennesaw,34.0234,-84.6155,53.38765335083008
LAGRANGE,LaGrange,33.0362,-85.0322,59.09969711303711
LAWRENCE,Lawrenceville,33.9562,-83.9879,53.283836364746094
LITHONIA,Lithonia,33.7123,-84.1052,52.31057357788086
LOCUST G,Locust Grove,33.3459,-84.1094,52.31057357788086
LOGANVIL,Loganville,33.8387,-83.9007,52.77605056762695
MABLETON,Mableton,33.8187,-84.5824,53.38765335083008
MADISON,Madison,33.5957,-83.4679,53.77651596069336
MANCHEST,Manchester,32.8599,-84.6194,53.38765335083008
MARIETTA,Marietta,33.9526,-84.5499,52.912025451660156
MCDONOUG,McDonough,33.4473,-84.1469,52.32172775268555
MILLEDGE,Milledgeville,33.0801,-83.2321,53.34627151489258
MILTON,Milton,34.1322,-84.3007,53.301490783691406
MINERAL ,Mineral Bluff,34.9854,-84.2777,53.301490783691406
MONROE,Monroe,33.794,-83.7135,52.77187728881836
MONTICEL,Monticello,33.304,-83.6835,52.26404571533203
MORROW,Morrow,33.5832,-84.3394,52.8249626159668
NEWNAN,Newnan,33.3807,-84.7997,55.813045501708984
NORCROSS,Norcross,33.9412,-84.2135,51.809059143066406
PEACHTRE,Peachtree City,33.3968,-84.5958,53.38765335083008
POWDER S,Powder Springs,33.8596,-84.6838,53.9173469543457
ROCKMART,Rockmart,34.0026,-85.0416,59.09969711303711
ROME,Rome,34.2562,-85.1687,62.83674240112305
ROSWELL,Roswell,34.0232,-84.3616,52.8249626159668
SANDY SP,Sandy Springs,33.9304,-84.3733,52.8249626159668
SENOIA,Senoia,33.3029,-84.5538,52.43638610839844
SMYRNA,Smyrna,33.8839,-84.5144,52.431522369384766
SNELLVIL,Snellville,33.8573,-84.0199,52.802215576171875
SOCIAL C,Social Circle,33.6568,-83.7182,53.258758544921875
SOUTH FU,South Fulton,33.6015,-84.5505,52.912025451660156
STOCKBRI,Stockbridge,33.5443,-84.2338,52.338623046875
STONE MO,Stone Mountain,33.8082,-84.1702,51.809059143066406
SUMMERVI,Summerville,34.4801,-85.3472,65.53743743896484
SUWANEE,Suwanee,34.0515,-84.0713,52.31057357788086
TALLAPOO,Tallapoosa,33.7443,-85.288,64.4178237915039
THOMASTO,Thomaston,32.8887,-84.3266,52.8249626159668
TOCCOA,Toccoa,34.5773,-83.3324,54.27894592285156
TUCKER,Tucker,33.8546,-84.2171,51.809059143066406
TYRONE,Tyrone,33.4718,-84.5977,53.38765335083008
UNION CI,Union City,33.5873,-84.5424,52.912025451660156
VILLA RI,Villa Rica,33.7321,-84.9191,55.88119125366211
WHITESBU,Whitesburg,33.494,-84.9138,55.88119125366211
WATKINSV,Watkinsville,33.8623,-83.4099,53.77651596069336
WEST POI,West Point,32.8776,-85.1846,62.83674240112305
WINDER,Winder,33.9926,-83.7204,53.258758544921875
WOODSTOC,Woodstock,34.1015,-84.5194,52.431522369384766
