LOCATIONID,LOCATIONNAME,LATITUDE,LONGITUDE,Value
ACWORTH,Acworth,34.0659,-84.6769,29.381715774536133
ADAIRSVI,Adairsville,34.3687,-84.9341,28.668415069580078
ALPHARET,Alpharetta,34.0754,-84.2941,34.23441696166992
ATHENS,Athens,33.9519,-83.3576,49.54287338256836
ATLANTA,Atlanta,33.749,-84.388,34.23441696166992
AUSTELL,Austell,33.8126,-84.6344,29.381715774536133
BALL GRO,Ball Ground,34.3387,-84.3755,34.23441696166992
BARNESVI,Barnesville,33.0543,-84.1513,35.556297302246094
BLAIRSVI,Blairsville,34.8759,-83.9853,39.40414810180664
BLUE RID,Blue Ridge,34.8634,-84.3241,34.23441696166992
BUFORD,Buford,34.1207,-84.0044,38.78582000732422
BREMEN,Bremen,33.7212,-85.145,27.19780731201172
CALHOUN,Calhoun,34.5026,-84.9511,28.668415069580078
CANTON,Canton,34.2368,-84.4908,31.522565841674805
CARROLLT,Carrollton,33.5801,-85.0766,27.933185577392578
CARTERSV,Cartersville,34.1651,-84.7999,28.66840362548828
CHAMBLEE,Chamblee,33.8929,-84.2988,34.23441696166992
CLAYTON,Clayton,34.882,-83.4018,49.033199310302734
CLEVELAN,Cleveland,34.597,-83.7632,41.82179641723633
CONYERS,Conyers,33.6676,-84.0177,37.49625015258789
COVINGTO,Covington,33.5968,-83.8602,41.2281379699707
CUMMING,Cumming,34.2073,-84.1402,35.556297302246094
DAHLONEG,Dahlonega,34.5254,-83.986,38.78582000732422
DALLAS,Dallas,33.9237,-84.8408,28.66840362548828
DAWSONVI,Dawsonville,34.4212,-84.1199,35.556297302246094
DOUGLASV,Douglasville,33.7515,-84.7477,29.381715774536133
DULUTH,Duluth,34.0029,-84.1446,35.556297302246094
EATONTON,Eatonton,33.3268,-83.3885,49.54287338256836
ELLIJAY,Ellijay,34.6948,-84.4821,31.522565841674805
FAIRBURN,Fairburn,33.5673,-84.581,30.12506866455078
FAIRPLAY,Fairplay,33.6234,-84.8599,28.66840362548828
FAYETTEV,Fayetteville,33.4487,-84.4549,31.522565841674805
FLOWERY ,Flowery Branch,34.1851,-83.9255,39.40414810180664
GAINESVI,Gainesville,34.2979,-83.8241,41.2281379699707
GRIFFIN,Griffin,33.2468,-84.2641,34.23441696166992
GREENSBO,Greensboro,33.5757,-83.1824,52.12677764892578
HELEN,Helen,34.7029,-83.7307,41.82179641723633
HIRAM,Hiram,33.8757,-84.7624,29.381715774536133
HOMER,Homer,34.3351,-83.4966,46.93712615966797
JASPER,Jasper,34.4673,-84.4291,34.23441696166992
JOHNS CR,Johns Creek,34.0289,-84.1986,35.556297302246094
JONESBOR,Jonesboro,33.5215,-84.3538,34.23441696166992
KENNESAW,Kennesaw,34.0234,-84.6155,30.12506866455078
LAGRANGE,LaGrange,33.0362,-85.0322,27.940542221069336
LAWRENCE,Lawrenceville,33.9562,-83.9879,38.78582000732422
LITHONIA,Lithonia,33.7123,-84.1052,35.556297302246094
LOCUST G,Locust Grove,33.3459,-84.1094,35.556297302246094
LOGANVIL,Loganville,33.8387,-83.9007,40.010101318359375
MABLETON,Mableton,33.8187,-84.5824,30.12506866455078
