LOCATIONID,LOCATIONNAME,LATITUDE,LONGITUDE,Value
BLAIRSVI,Blairsville,34.8759,-83.9853,0.0
ELLIJAY,Ellijay,34.6948,-84.4821,0.0
ROME,Rome,34.2562,-85.1687,0.0
CANTON,Canton,34.2368,-84.4908,0.0
GAINESVI,Gainesville,34.2927,-83.8241,0.0
ATLANTA,Atlanta,33.7501,-84.3885,0.0
CARROLLT,Carrollton,33.5801,-85.0766,0.0
COVINGTO,Covington,33.5968,-83.8602,0.0
GRIFFIN,Griffin,33.2468,-84.2641,0.0
EATONTON,Eatonton,33.3268,-83.3885,0.0
LAGRANGE,Lagrange,33.0362,-85.0322,0.0
THOMASTO,Thomaston,32.8882,-84.3266,0.0
ATHENS,Athens,33.9597,-83.3764,0.0
HAMILTON,Hamilton,34.1423,-87.9886,1.9999980926513672
HALEYVIL,Haleyville,34.2265,-87.6214,0.9999990463256836
CULLMAN,Cullman,34.1748,-86.8436,0.0
ONEONTA,Oneonta,33.9487,-86.4728,0.0
GADSDEN,Gadsden,34.0143,-86.0066,0.0
CENTRE,Centre,34.1526,-85.6786,0.0
ANNISTON,Anniston,33.6598,-85.8316,0.0
FAYETTE,Fayette,33.6846,-87.8286,1.9999980926513672
JASPER,Jasper,33.8318,-87.2775,1.9999980926513672
BIRMINGH,Birmingham,33.5186,-86.8104,0.0
PELL CIT,Pell City,33.5868,-86.2861,0.0
TALLADEG,Talladega,33.4359,-86.1058,0.0
ASHLAND,Ashland,33.2737,-85.835,0.0
ALICEVIL,Aliceville,33.129,-88.1514,4.000001907348633
TUSCALOO,Tuscaloosa,33.2098,-87.5692,0.9999990463256836
EUTAW,Eutaw,32.8404,-87.8875,1.9999980926513672
GREENSBO,Greensboro,32.7043,-87.5956,0.9999990463256836
DEMOPOLI,Demopolis,32.5174,-87.837,1.9999980926513672
MARION,Marion,32.6324,-87.3192,1.9999980926513672
CENTREVI,Centreville,32.944,-87.1344,1.9999980926513672
HOOVER,Hoover,33.4054,-86.8114,0.0
CLANTON,Clanton,32.8387,-86.6294,0.0
ROCKFORD,Rockford,32.8896,-86.2197,0.0
ALEXANDE,Alexander City,32.944,-85.9539,0.0
